Date,CW_loads,HW_loads,Campus_KWH,Electricity_prices
2015-07-01T07:00:00,10155.82167,32.43011111,22210.80175,0.03718
2015-07-01T08:00:00,9527.263775,33.15919441,21591.93707,0.03382763
2015-07-01T09:00:00,8944.368028,32.33816678,21110.72882,0.03373252
2015-07-01T10:00:00,8173.245324,32.30022215,21007.5589,0.03205883
2015-07-01T11:00:00,7597.638873,27.33013896,21088.9851,0.03167886
2015-07-01T12:00:00,7651.314688,29.81413878,21715.72136,0.03325341
2015-07-01T13:00:00,8009.872629,44.50661153,23084.51551,0.04003986
2015-07-01T14:00:00,8941.969857,40.90419441,24547.19895,0.04142936
2015-07-01T15:00:00,10942.24296,44.0755832,26325.71368,0.04208975
2015-07-01T16:00:00,13043.45582,40.4153334,27520.36947,0.04395083
2015-07-01T17:00:00,15407.79153,36.85111113,28468.25189,0.04687434
2015-07-01T18:00:00,18180.21275,34.51713916,29060.67174,0.0536424
2015-07-01T19:00:00,18832.12943,32.23861093,29156.44239,0.06038737
2015-07-01T20:00:00,18140.26828,32.81008343,29028.91405,0.07804
2015-07-01T21:00:00,18121.92807,32.40416658,29101.67917,0.09151188
2015-07-01T22:00:00,17888.68741,31.67205541,28774.3216,0.11371094
2015-07-01T23:00:00,18178.86327,30.84219446,28333.4998,0.13320459
2015-07-02T00:00:00,17286.90045,31.56536112,27378.01476,0.15
2015-07-02T01:00:00,15188.78681,31.86075003,26049.57862,0.12438203
2015-07-02T02:00:00,13376.63872,32.14974994,24878.9514,0.1060767
2015-07-02T03:00:00,12656.87028,33.23886123,24797.52535,0.07291478
2015-07-02T04:00:00,11968.06235,28.44913896,24857.06131,0.06193146
2015-07-02T05:00:00,11609.97674,35.96244433,23775.52496,0.04811398
2015-07-02T06:00:00,10606.00229,32.8097501,22973.98564,0.04423492
2015-07-02T07:00:00,9637.585582,33.43274998,22248.65144,0.03638
2015-07-02T08:00:00,9366.321745,32.38122221,21600.37441,0.03422364
2015-07-02T09:00:00,9361.585634,31.54549998,20897.702,0.03288268
2015-07-02T10:00:00,9340.636426,31.06894446,20808.59944,0.03096296
2015-07-02T11:00:00,8944.460604,30.61872212,20904.40977,0.02962621
2015-07-02T12:00:00,8856.486011,32.81666656,21439.28463,0.03256856
